Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","056","Belgium","5910","Export quantity","01312","Bananas","2000","2000","t","966640","A","Official figure",""
"TCL","Crops and livestock products","056","Belgium","5910","Export quantity","01312","Bananas","2001","2001","t","971494","A","Official figure",""
"TCL","Crops and livestock products","056","Belgium","5910","Export quantity","01312","Bananas","2002","2002","t","889431","A","Official figure",""
"TCL","Crops and livestock products","056","Belgium","5910","Export quantity","01312","Bananas","2003","2003","t","862959","A","Official figure",""
"TCL","Crops and livestock products","056","Belgium","5910","Export quantity","01312","Bananas","2004","2004","t","910676","A","Official figure",""
"TCL","Crops and livestock products","056","Belgium","5910","Export quantity","01312","Bananas","2005","2005","t","948546","A","Official figure",""
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5910","Export quantity","01312","Bananas","1994","1994","t","505145","A","Official figure",""
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5910","Export quantity","01312","Bananas","1995","1995","t","829256","A","Official figure",""
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5910","Export quantity","01312","Bananas","1996","1996","t","869070","A","Official figure",""
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5910","Export quantity","01312","Bananas","1997","1997","t","808092","A","Official figure",""
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5910","Export quantity","01312","Bananas","1998","1998","t","837966","A","Official figure",""
"TCL","Crops and livestock products","058","Belgium-Luxembourg","5910","Export quantity","01312","Bananas","1999","1999","t","985141","A","Official figure",""
"TCL","Crops and livestock products","120","Cameroon","5910","Export quantity","01312","Bananas","1994","1994","t","165300","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","120","Cameroon","5910","Export quantity","01312","Bananas","1995","1995","t","187294","A","Official figure",""
"TCL","Crops and livestock products","120","Cameroon","5910","Export quantity","01312","Bananas","1996","1996","t","160192","A","Official figure",""
"TCL","Crops and livestock products","120","Cameroon","5910","Export quantity","01312","Bananas","1997","1997","t","179698","A","Official figure",""
"TCL","Crops and livestock products","120","Cameroon","5910","Export quantity","01312","Bananas","1998","1998","t","134000","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","120","Cameroon","5910","Export quantity","01312","Bananas","1999","1999","t","165000","X","Figure from international organizations","Estimated data using trading partners database"
"TCL","Crops and livestock products","120","Cameroon","5910","Export quantity","01312","Bananas","2000","2000","t","238170","A","Official figure",""
"TCL","Crops and livestock products","120","Cameroon","5910","Export quantity","01312","Bananas","2001","2001","t","254102","A","Official figure",""
"TCL","Crops and livestock products","120","Cameroon","5910","Export quantity","01312","Bananas","2002","2002","t","238412","A","Official figure",""
"TCL","Crops and livestock products","120","Cameroon","5910","Export quantity","01312","Bananas","2003","2003","t","313723","A","Official figure",""
"TCL","Crops and livestock products","120","Cameroon","5910","Export quantity","01312","Bananas","2004","2004","t","294886","A","Official figure",""
"TCL","Crops and livestock products","120","Cameroon","5910","Export quantity","01312","Bananas","2005","2005","t","265457","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export quantity","01312","Bananas","1994","1994","t","1703718","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export quantity","01312","Bananas","1995","1995","t","1360278","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export quantity","01312","Bananas","1996","1996","t","1476523","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export quantity","01312","Bananas","1997","1997","t","1586029","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export quantity","01312","Bananas","1998","1998","t","1408820","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export quantity","01312","Bananas","1999","1999","t","1697518","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export quantity","01312","Bananas","2000","2000","t","1564400","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export quantity","01312","Bananas","2001","2001","t","1344231","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export quantity","01312","Bananas","2002","2002","t","1460245","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export quantity","01312","Bananas","2003","2003","t","1424819","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export quantity","01312","Bananas","2004","2004","t","1471394","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export quantity","01312","Bananas","2005","2005","t","1621746","A","Official figure",""
"TCL","Crops and livestock products","188","Costa Rica","5910","Export quantity","01312","Bananas","1994","1994","t","1868894","A","Official figure",""
"TCL","Crops and livestock products","188","Costa Rica","5910","Export quantity","01312","Bananas","1995","1995","t","2022134","A","Official figure",""
